,App_Name,App_Size,currency,App_Price,Type,Review_count,User_Rating,Content_Rating,Category
78,Citi Mobile,281244672,USD,0.0,Free,48822,3.5,4+,Finance
79,Phase 10 Pro - Play Your Friends,66695168,USD,1.99,Paid,59155,4.5,4+,Games
80,"Kindle  Read eBooks, Magazines  Textbooks",169747456,USD,0.0,Free,252076,3.5,4+,Book
81,MASH,41691136,USD,1.99,Paid,4913,4.0,9+,Games
82,Wedding Dash Deluxe,55803904,USD,0.99,Paid,16567,4.5,4+,Games
83,Beer Pong Game,188956672,USD,0.0,Free,187315,2.0,17+,Games
84,Tempo - Metronome with Setlists,22185984,USD,2.99,Paid,4781,4.5,4+,Music
85,Skat,66160640,USD,3.99,Paid,94,4.5,4+,Games
86,Color Splash,28135424,USD,0.99,Paid,29554,4.0,4+,Photo & Video
87,Zombieville USA,27962441,USD,0.99,Paid,32988,4.0,12+,Games
88,Skype for iPhone,133238784,USD,0.0,Free,373519,3.5,4+,Social Networking
89,Tumblr,151573504,USD,0.0,Free,334293,4.0,17+,Social Networking
90,iSwap Faces,27069440,USD,1.99,Paid,2302,3.5,4+,Photo & Video
91,Match - #1 Dating App,101259264,USD,0.0,Free,60659,3.0,17+,Social Networking
92,Tozzle - Toddlers favorite puzzle,168192000,USD,2.99,Paid,2562,4.0,4+,Games
93,HomeBudget with Sync,17485824,USD,4.99,Paid,3042,3.5,4+,Finance
94,Wind Meter,5234688,USD,0.99,Paid,338,2.5,4+,Weather
95,Map My Run+ - GPS Running  Workout Tracker,237913088,USD,2.99,Paid,16434,4.5,4+,Health & Fitness
96,Map My Ride+ - GPS Cycling  Route Tracker,233513984,USD,2.99,Paid,10046,4.5,4+,Health & Fitness
97,"HuffPost - News, Politics  Entertainment",110420992,USD,0.0,Free,29107,3.0,12+,News
98,Phrase Party,47774720,USD,1.99,Paid,878,4.0,17+,Games
99,Minesweeper Classic,22259712,USD,0.99,Paid,1140,3.5,4+,Games
100,Sallys Spa,431771648,USD,2.99,Paid,35074,4.5,4+,Games
101,"CBS Sports App - Sports Scores, News, Stats, Watch",120357888,USD,0.0,Free,59639,3.0,17+,Sports
102,Brain Wave  - 32 Advanced Binaural Brainwave Entrainment Programs with iTunes Music and Relaxing Ambience,90828800,USD,4.99,Paid,2913,4.0,4+,Health & Fitness
103,iSwap Faces LITE,30796800,USD,0.0,Free,39722,3.0,4+,Photo & Video
104,DIRECTV,151397376,USD,0.0,Free,81006,3.5,4+,Entertainment
105,NYTimes Crossword - Daily Word Puzzle Game,46880768,USD,0.0,Free,53465,3.5,4+,Games
106,Doodle Jump,48741376,USD,0.99,Paid,395261,4.5,4+,Games
107,LEDit  The LED Banner App,17145856,USD,1.99,Paid,2021,4.5,4+,Utilities
108,niconico,25808896,USD,0.0,Free,182,3.0,17+,Entertainment
109,Fandango Movies - Times + Tickets,81924096,USD,0.0,Free,291787,4.0,4+,Entertainment
110,iCab Mobile Web Browser,19451904,USD,1.99,Paid,2441,4.0,17+,Utilities
111,iRagdoll - Ragdoll Physics,118683648,USD,0.99,Paid,1372,4.0,12+,Games
112,Proloquo2Go - Symbol-based AAC,723764224,USD,249.99,Paid,773,4.0,4+,Education
113,Dictionarycom Dictionary  Thesaurus,111275008,USD,0.0,Free,200047,4.0,4+,Reference
114,20 Minutesfr - lactualit en continu,109616128,USD,0.0,Free,112,3.5,12+,News
115,The Masters Tournament,120725504,USD,0.0,Free,148160,4.5,4+,Sports
116,myATT,68491264,USD,0.0,Free,108507,3.0,4+,Utilities
117,SFR TV,122153984,USD,0.0,Free,46,3.0,4+,Entertainment
118,"Shutterfly: Prints, Photo Books, Cards Made Easy",122315776,USD,0.0,Free,51427,4.0,4+,Photo & Video
119,StickWars,17010688,USD,0.99,Paid,53821,3.5,12+,Games
120,Indeed Job Search,3691520,USD,0.0,Free,38681,4.0,4+,Business
121,World Cup Table Tennis,31387648,USD,0.99,Paid,17776,4.0,4+,Games
122,WhatsApp Messenger,135044096,USD,0.0,Free,287589,4.5,4+,Social Networking
123,"iStudiez Pro  Homework, Schedule, Grades",55815168,USD,2.99,Paid,7308,4.0,4+,Productivity
124,Zillow Real Estate - Homes for Sale  for Rent,132632576,USD,0.0,Free,342969,4.5,4+,Lifestyle
125,2XL Supercross,270729216,USD,4.99,Paid,6093,4.0,4+,Games
126,Pocket Tanks Deluxe,39827456,USD,4.99,Paid,5452,4.5,9+,Games
127,Wells Fargo Mobile,57328640,USD,0.0,Free,43064,3.0,4+,Finance
128,radiode - Der Radioplayer,40717312,USD,0.0,Free,64,4.5,4+,Music
129,AutoScout24 - mobile used  new car market,141136896,USD,0.0,Free,220,4.5,4+,Productivity
130,Sky Burger - Build  Match Food Free,146228224,USD,0.0,Free,114096,4.5,4+,Games
131,MindNode  Delightful Mind Mapping,52294656,USD,9.99,Paid,1296,4.0,4+,Productivity
132,Packing Pro,16332800,USD,2.99,Paid,1293,4.0,4+,Travel
133,USAA Mobile,164382720,USD,0.0,Free,19946,4.0,4+,Finance
134,The Moron Test,45712384,USD,0.0,Free,88613,4.0,4+,Entertainment
135,Sunday Lawn,16086016,USD,0.99,Paid,107727,3.5,4+,Games
136,Peggle Classic,223805440,USD,0.99,Paid,21416,4.5,4+,Games
137,SmartGo Player,22159360,USD,2.99,Paid,533,4.0,4+,Games
138,I Am T-Pain 20,20542280,USD,2.99,Paid,32650,3.5,12+,Music
139,TextNow - Unlimited Text + Calls,130637824,USD,0.0,Free,164963,3.5,4+,Social Networking
140,Boating Weather,8900608,USD,1.99,Paid,141,3.0,4+,Weather
141,Best Buy,180500480,USD,0.0,Free,80424,4.0,4+,Shopping
142,I Dig It,19853312,USD,0.99,Paid,17190,4.0,4+,Games
143,Unblock Me,42926080,USD,0.99,Paid,7973,4.0,4+,Games
144,Sonic The Hedgehog,36692992,USD,2.99,Paid,19621,4.0,4+,Games
145,10 Pin Shuffle Pro Bowling,36647936,USD,3.99,Paid,7315,4.0,4+,Games
146,Sky News,91697152,USD,0.0,Free,118,3.0,12+,News
147,"ESPN: Get scores, news, alerts  watch live sports",51538944,USD,0.0,Free,290996,3.5,4+,Sports
148,LiveATC Air Radio,8302592,USD,3.99,Paid,2785,4.0,4+,Travel
149,The Sims 3,430128128,USD,6.99,Paid,54408,3.5,12+,Games
150,"Chess Pro with Coach - Learn,Play  Online Friends",69960704,USD,9.99,Paid,8138,4.0,4+,Games
151,Guess My Age  Math Magic,767126,USD,0.0,Free,123190,3.0,4+,Education
152,Crush the Castle,12996628,USD,0.99,Paid,23810,3.5,12+,Games
153,2016 US Open Golf Championship,139545600,USD,0.0,Free,54192,4.0,4+,Sports
154,"The Championships, Wimbledon 2016 - Tennis Grand Slam",130394112,USD,0.0,Free,20953,4.0,4+,Sports
155,TuneIn Radio Pro - MLB Audiobooks Podcasts Music,101925888,USD,9.99,Paid,71609,4.5,12+,Music
156,NBC News,52951040,USD,0.0,Free,32881,3.5,12+,News
157,"Grindr - Gay and same sex guys chat, meet and date",80409600,USD,0.0,Free,23201,2.5,17+,Social Networking
158,Whole Foods Market,137312256,USD,0.0,Free,17906,3.0,4+,Shopping
159,NAVIGON Europe,144412672,USD,74.99,Paid,927,3.5,4+,Navigation
160,Virtual Families,27746273,USD,1.99,Paid,18920,3.5,9+,Games
161,Sparkasse+,119648256,USD,0.99,Paid,30,3.0,4+,Finance
162,Sparkasse - Your mobile branch,119574528,USD,0.0,Free,77,3.0,4+,Finance
163,Sleep Cycle alarm clock,79315968,USD,0.0,Free,104539,4.5,4+,Health & Fitness
164,FACEinHOLE,12818432,USD,0.99,Paid,4016,4.0,12+,Photo & Video
165,Harvest - Select the Best Produce,18165760,USD,1.99,Paid,299,4.0,4+,Food & Drink
166,WORMS,253834240,USD,1.99,Paid,5758,4.0,12+,Games
167,Pixel Starships : 8Bit MMORPG,69083136,USD,0.0,Free,5565,4.5,9+,Games
168,Traffic Rush,8573952,USD,0.99,Paid,213092,3.5,9+,Games
169,MyRadar NOAA Weather Radar Forecast,127284224,USD,0.0,Free,150158,4.5,4+,Weather
170,Resident Evil 4: PLATINUM,81374398,USD,4.99,Paid,6046,4.0,12+,Games
171,"Waze - GPS Navigation, Maps  Real-time Traffic",94139392,USD,0.0,Free,345046,4.5,4+,Navigation
172,Cartoon Wars,13216994,USD,0.99,Paid,35930,3.5,12+,Games
173,Moto X Mayhem,21010210,USD,0.99,Paid,22557,4.0,4+,Games
174,Fantasy Football Manager - FFM for FPL,35998720,USD,0.99,Paid,292,3.0,17+,Sports
175,Spotify Music,132510720,USD,0.0,Free,878563,4.5,12+,Music
176,McDo France,37001216,USD,0.0,Free,22,3.5,4+,Food & Drink
177,PGA Championship 2016  Baltusrol Golf Club,64147456,USD,0.0,Free,10472,3.5,17+,Sports
178,BFMTV : linfo en continu,100779008,USD,0.0,Free,115,4.0,17+,News
179,"MyRadar Pro NOAA Weather Radar, Forecasts  Storms",123718656,USD,1.99,Paid,13915,4.5,4+,Weather
180,Spider:  The Secret of Bryce Manor,126312448,USD,1.99,Paid,6780,4.0,9+,Games
181,My Measures PRO,79882240,USD,7.99,Paid,1701,4.0,4+,Productivity
182,Food Additives Checker E Numbers,6418432,USD,1.99,Paid,6,3.5,4+,Health & Fitness
183,SFR Mon Compte,74093568,USD,0.0,Free,19,3.0,4+,Utilities
184,Baby Connect Activity Log,12937216,USD,4.99,Paid,3483,4.5,4+,Medical
185,Epson iPrint,53388288,USD,0.0,Free,2838,3.0,4+,Photo & Video
186,Mad Libs,118498304,USD,0.0,Free,117889,3.0,4+,Entertainment
187,BATTLE BEARS: Zombies,103197675,USD,0.99,Paid,50710,3.5,9+,Games
188,Hurricane Tracker,24574976,USD,2.99,Paid,3960,4.5,4+,Weather
189,NFL Sunday Ticket,96093184,USD,0.0,Free,24258,3.0,4+,Entertainment
190,2016 US Open Tennis Championships,77700096,USD,0.0,Free,37522,4.0,4+,Sports
191,Dropbox,180804608,USD,0.0,Free,49578,3.5,4+,Productivity
192,Wa Kingyo - Goldfish Pond,56397824,USD,0.99,Paid,626,4.0,4+,Entertainment
193,Monkey Preschool Lunchbox,229272576,USD,1.99,Paid,9286,4.0,4+,Games
194,Yahoo Fantasy Sports,131000320,USD,0.0,Free,190670,3.5,17+,Sports
195,Gaia GPS Classic,53097472,USD,19.99,Paid,2429,4.5,4+,Navigation
196,iLoan Calc Loan calculator,3375104,USD,3.99,Paid,0,0.0,4+,Finance
197,Geocaching,108166144,USD,0.0,Free,12811,3.5,4+,Navigation
198,Camera+,89187328,USD,1.99,Paid,32338,4.0,4+,Photo & Video
199,Alter Ego,13647872,USD,4.99,Paid,262,4.0,12+,Games
200,Parking Mania,123544576,USD,0.99,Paid,9657,4.5,4+,Games
201,Sudoku,1608704,USD,2.99,Paid,18332,4.5,4+,Games
202,Period Tracker Lite,50169856,USD,0.0,Free,53620,4.0,12+,Health & Fitness
203,Camera Plus: For Macro Photos  Remote Photography,101181440,USD,0.99,Paid,38533,2.5,4+,Photo & Video
204,The perfect Egg timer,15329280,USD,0.99,Paid,40,3.5,4+,Food & Drink
205,Letter Quiz - alphabet tracing for kids,31845376,USD,1.99,Paid,472,4.0,4+,Games
206,Starbucks,135032832,USD,0.0,Free,303856,4.5,4+,Food & Drink
207,Bloons TD,8432232,USD,2.99,Paid,7941,4.0,4+,Games
208,Weight Watchers,230720512,USD,0.0,Free,136833,3.5,12+,Health & Fitness
209,"CNN: Breaking US  World News, Live Video",80211968,USD,0.0,Free,112886,3.5,12+,News
210,Gilt,148201472,USD,0.0,Free,26353,3.5,4+,Shopping
211,TRUTH or DARE - FREE,20795392,USD,0.0,Free,171055,3.0,12+,Entertainment
212,Canabalt,27934720,USD,2.99,Paid,4540,4.0,9+,Games
213,Alipay - Makes Life Easy,208309248,USD,0.0,Free,1926,3.0,4+,Lifestyle
214,Scanner911 Pro,33812480,USD,3.99,Paid,14345,4.0,12+,News
215,Daily Teachings,20298752,USD,4.99,Paid,1340,4.5,4+,Lifestyle
216,Scanner Pro - PDF document scanner app with OCR,101346304,USD,3.99,Paid,31912,4.5,4+,Business
217,Twitter,210569216,USD,0.0,Free,354058,3.5,17+,News
218,"Trainline UK: Live Train Times, Tickets  Planner",110198784,USD,0.0,Free,248,4.0,4+,Travel
219,CBS News - Watch Free Live Breaking News,78047232,USD,0.0,Free,11691,3.5,12+,News
220,iOvilus,9946112,USD,1.99,Paid,381,3.0,12+,Entertainment
221,The Impossible Quiz,44652544,USD,0.0,Free,18884,4.0,9+,Entertainment
222,WolframAlpha,30369792,USD,2.99,Paid,7410,4.0,9+,Reference
223,Catan,376171520,USD,1.99,Paid,15175,4.0,4+,Games
224,ScanBizCards Business Card Reader,96815104,USD,0.99,Paid,3166,4.0,4+,Business
225,"Walgreens  Pharmacy, Photo, Coupons and Shopping",169138176,USD,0.0,Free,88885,4.5,12+,Shopping
226,King of Dragon Pass,364490752,USD,9.99,Paid,882,5.0,12+,Games
227,Stylebook,44135424,USD,3.99,Paid,1729,4.0,17+,Lifestyle
228,NBA,112074752,USD,0.0,Free,43682,3.5,4+,Sports
229,Blower,98942976,USD,0.99,Paid,861,2.0,4+,Entertainment
230,My Cycles Period and Ovulation Tracker,77686784,USD,0.0,Free,7469,3.5,12+,Health & Fitness
231,"Kmart  Download Now, Shop Online  Pick Up Today",94496768,USD,0.0,Free,4186,3.5,4+,Shopping
232,DOOM Classic,32796672,USD,4.99,Paid,3970,4.0,17+,Games
233,SoundCloud - Music  Audio,105009152,USD,0.0,Free,135744,4.0,4+,Music
234,imo video calls and chat,22562816,USD,0.0,Free,18841,4.0,4+,Social Networking
235,Plane Finder - Flight Tracker,52632576,USD,3.99,Paid,1438,4.0,4+,Navigation
236,"Runtastic Running, Jogging and Walking Tracker",151388160,USD,0.0,Free,10298,4.5,4+,Health & Fitness
237,iFiles,47323136,USD,0.99,Paid,1842,3.5,4+,Productivity
238,TeachMe: Kindergarten,59846656,USD,1.99,Paid,2548,4.0,4+,Education
239,Moorhuhn Deluxe - Crazy Chicken,27807744,USD,0.99,Paid,319,3.0,12+,Games
240,Victorias Secret  The Sexiest Bras  Lingerie,60976128,USD,0.0,Free,34507,3.5,12+,Shopping
241,MONOPOLY Game,194386944,USD,0.99,Paid,26482,3.5,4+,Games
242,n-tv Nachrichten,49470464,USD,0.0,Free,273,3.0,12+,News
243,Shazam Encore,147118080,USD,2.99,Paid,8331,4.0,12+,Music
244,Harry Potter: Spells,125411328,USD,0.99,Paid,17023,4.0,4+,Games
245,First Words Deluxe,63316992,USD,4.99,Paid,1101,4.0,4+,Games
246,Clay Hunt,15313920,USD,0.99,Paid,1193,4.0,17+,Games
247,Dream Team - be your own fantasy football manager,69816320,USD,0.0,Free,35,2.5,17+,Sports
248,Jet Car Stunts,32848910,USD,1.99,Paid,4088,4.0,4+,Games
249,Call of Duty: Zombies,52821364,USD,4.99,Paid,63943,4.0,17+,Games
250,"Walmart: Free 2-Day Shipping, Easy Store Shopping",146507776,USD,0.0,Free,70286,3.0,4+,Shopping
251,AirWatch Agent,24747008,USD,0.0,Free,1150,2.5,4+,Business
252,Shop Savvy Barcode Scanner - Price Compare  Deals,89517056,USD,0.0,Free,54630,2.5,4+,Shopping
253,Voice Changer Plus,40722432,USD,0.0,Free,98777,3.0,4+,Entertainment
254,CatPaint,73332736,USD,0.99,Paid,649,4.0,4+,Photo & Video
255,Redbox,83906560,USD,0.0,Free,60236,3.0,12+,Entertainment
256,Trenches,37340259,USD,0.99,Paid,26732,4.0,17+,Games
257,The Christmas List,26137600,USD,1.99,Paid,2722,4.5,4+,Shopping
258,Macys,107816960,USD,0.0,Free,11013,3.5,4+,Shopping
259,Calorie Counter  Diet Tracker by MyFitnessPal,152700928,USD,0.0,Free,507706,4.5,4+,Health & Fitness
260,BlaBlaCar - Trusted Carpooling,112024576,USD,0.0,Free,397,4.5,4+,Travel
261,Refills Calendar - Scheduler - Note,35864576,USD,9.99,Paid,196,4.0,4+,Productivity
262,5-0 Radio Pro Police Scanner Extra Feeds,49594368,USD,3.99,Paid,24553,4.0,9+,News
263,Hipstamatic,114081792,USD,2.99,Paid,12557,3.5,4+,Photo & Video
264,Sing Karaoke Songs Unlimited with StarMaker,91267072,USD,0.0,Free,26227,4.0,9+,Music
265,TurboScan Pro - document  receipt scanner: scan multiple pages and photos to PDF,8821760,USD,4.99,Paid,28388,5.0,4+,Business
266,Positivity with Andrew Johnson,69513216,USD,2.99,Paid,282,4.0,4+,Health & Fitness
267,Rat On A Scooter XL,7767040,USD,0.99,Paid,19296,4.0,4+,Games
268,IMDb Movies  TV - Trailers and Showtimes,88702976,USD,0.0,Free,183425,4.5,12+,Entertainment
269,Angry Birds,175966208,USD,0.0,Free,824451,4.5,4+,Games
270,DB Navigator,84791296,USD,0.0,Free,512,3.5,4+,Travel
271,Video Calls with Santa,27997184,USD,2.99,Paid,315,3.5,4+,Lifestyle
272,Voyages-sncfcom : book train and bus tickets,131463168,USD,0.0,Free,268,3.5,4+,Travel
273,The Font Game,5415000,USD,1.99,Paid,438,4.5,4+,Games
274,ImmobilienScout24: Real Estate Search in Germany,126867456,USD,0.0,Free,187,3.5,4+,Navigation
275,Grand Theft Auto: Chinatown Wars,878883840,USD,4.99,Paid,15142,4.0,17+,Games
276,Southwest Airlines,88773632,USD,0.0,Free,30552,3.0,4+,Travel
277,The Sims 3 World Adventures,812758016,USD,2.99,Paid,9744,3.5,12+,Games
278,Star Chart,28616704,USD,0.0,Free,13482,4.5,4+,Education
279,TaxCaster  Free tax refund calculator,7111680,USD,0.0,Free,17516,3.5,4+,Finance
280,Glow Hockey 2 FREE,34056767,USD,0.0,Free,186653,3.5,4+,Games
281,"Big Button Box - funny sounds, sound effects buttons, pro fx soundboard, fun games board, scary music, annoying fart noises, jokes, super cool dj effect, cat, dog  animal fx",21450752,USD,0.99,Paid,10031,4.0,4+,Entertainment
282,TV SPIELFILM - TV Programm mit Live TV,97879040,USD,0.0,Free,81,3.0,4+,Entertainment
283,All-in-1 Logic GameBox,22299021,USD,0.99,Paid,9854,4.0,4+,Games
284,Roadside America,10231808,USD,2.99,Paid,1093,4.0,9+,Travel
285,Pocket Yoga,132480000,USD,2.99,Paid,4475,4.5,4+,Health & Fitness
286,Sonic the Hedgehog 2,47182848,USD,2.99,Paid,9405,4.0,4+,Games
287,Simply Being - Guided Meditation for Relaxation and Presence,100048896,USD,1.99,Paid,2417,4.5,4+,Health & Fitness
288,CamCard - Business card scanner  reader,174839808,USD,0.99,Paid,2923,4.5,4+,Business
289,This American Life,13725696,USD,2.99,Paid,8657,3.5,9+,Entertainment
290,Timetracks - Slit-Scan Camera,11369472,USD,0.99,Paid,70,2.0,4+,Photo & Video
291,franceinfo - lactualit  les lections en direct,155857920,USD,0.0,Free,162,4.0,17+,News
292,DOUBUTSU URANAI-Animal Fortune-,38718464,USD,0.99,Paid,5,4.0,4+,Lifestyle
293,Doodle Army,17879270,USD,0.99,Paid,12354,4.0,12+,Games
294,Ameba,96635904,USD,0.0,Free,269,3.0,12+,Social Networking
295,eBook: War and Peace,8039424,USD,3.99,Paid,0,0.0,9+,Book
296,Plants vs Zombies,105379840,USD,0.99,Paid,426463,5.0,9+,Games
297,Weibo,199585792,USD,0.0,Free,7265,3.5,17+,Social Networking
298,AlloCin : Cinma et Sries,123450368,USD,0.0,Free,101,4.0,12+,Entertainment
299,"Badoo - Meet New People, Chat, Socialize",157625344,USD,0.0,Free,34428,4.5,17+,Social Networking
300,Flick Kick Field Goal,75612160,USD,1.99,Paid,36946,4.5,4+,Games
301,Venmo,68153344,USD,0.0,Free,21090,4.5,4+,Finance
302,"Dungeons  Such Treasures,Collectibles and Dragons",84469760,USD,2.99,Paid,653,4.5,12+,Games
303,"StarMap 3D+: Night Sky, Astronomy, Star View Guide",100368384,USD,3.99,Paid,1118,4.5,4+,Education
304,Shift Worker,7344128,USD,1.99,Paid,348,4.0,4+,Productivity
305,"Spy Calc - Hide pictures, videos, documents",25097281,USD,1.99,Paid,207,3.5,9+,Utilities
306,Waterlogged - Daily Hydration Tracker,43439104,USD,0.0,Free,5000,4.5,12+,Health & Fitness
307,MyNetDiary PRO - Calorie Counter and Food Diary,83851264,USD,3.99,Paid,15188,4.5,12+,Health & Fitness
308,The Washington Post Classic,118980608,USD,0.0,Free,18572,4.5,12+,News
309,F-Sim Space Shuttle,76394496,USD,4.99,Paid,6403,4.5,4+,Games
310,"Groupon - Deals, Coupons  Discount Shopping App",127382528,USD,0.0,Free,417779,4.5,12+,Shopping
311,Learn to Speak Spanish Fast With MosaLingua,48819200,USD,4.99,Paid,9,5.0,12+,Education
312,"Coaster VR, Extreme Endless 3D Stereograph",30977024,USD,0.99,Paid,107,2.5,4+,Entertainment
313,Parents Calling Easter Bunny,8073209,USD,1.99,Paid,72,2.0,4+,Lifestyle
314,Sporcle,15676416,USD,2.99,Paid,2044,3.5,9+,Games
